Area in sq.ft,Width of road in ft,Crimes per month,Average household income,Distance to railway station in kms,Distance to airport in kms,Distance to religious places in kms,Distance from slum in kms,Distance to state run liquor shop in kms,Education quality,Sports facility,Local traffic,Quality of life,Access to supermarket,Pollution levels,Medical treatment,Road condition,Price in Rupees
164.972723,9.915223022,12,16357.41341,6.775365603,27.48740276,4.15523714,0.926084686,0.93683345,0.809318057,0.496251629,0.3568067,0.011381354,0.428217754,0.482694261,0.567724322,0.342930127,2068834.345
2723.900267,44.60404808,9,1214969.785,18.99967263,5.340053423,3.93716436,1.070620989,1.088449486,0.777376458,0.438374774,0.650271027,0.406720921,0.846580558,0.682328688,0.700828709,0.576454287,46901057.54
2432.995477,28.89725648,8,703068.9431,4.990584019,22.5294978,0.039635154,4.985724857,5.03187166,0.006052509,0.941865655,0.687962811,0.470224825,0.61003692,0.896260352,0.100826707,0.81534506,45021429.75
1420.784809,41.56091048,12,590491.1025,7.788671282,10.52445545,4.104630497,0.902182259,0.947724413,0.812495365,0.296451096,0.191345135,0.974053475,0.939639925,0.556186639,0.761761947,0.858400583,33500619.55
4182.86062,35.24015285,20,1474046.476,9.846121141,8.481227963,3.259715118,1.806651677,1.835331672,0.636731366,0.875282417,0.502766322,0.844645662,0.753803436,0.105139522,0.768883595,0.675485181,94348477.57
4471.700452,13.10093574,2,585834.6029,8.319769163,22.18209144,4.883698949,0.139570704,0.140635968,0.969923557,0.096255265,0.469714031,0.062622098,0.384194026,0.059534959,0.705828203,0.300629079,68324944.62
2150.587062,9.6556092,8,207652.2822,18.48547649,22.86361556,4.152557074,0.884125958,0.892833502,0.815097452,0.842412594,0.522534446,0.325384499,0.391543931,0.648565436,0.450549326,0.300565481,36591770.03
3001.015565,0.37023907,17,11110.93211,5.024290885,17.21734131,4.951552557,0.077212617,0.123931331,0.981134544,0.203134145,0.389638229,0.531131558,0.017686329,0.629312258,0.759968496,0.098002196,46495954.06
9080.518048,13.26322264,5,1204369.325,5.710094545,9.598241584,2.698701158,2.348034525,2.393618738,0.524781772,0.118437924,0.528041743,0.28142489,0.659706242,0.923056359,0.406646716,0.35270202,148124663.3
4702.630159,18.41241464,1,865867.7639,0.185056184,8.423653961,2.304564706,2.785767544,2.834945067,0.438399843,0.063401017,0.536553332,0.657921925,0.535778168,0.293569417,0.467856725,0.177226763,92205312.74
9237.278063,6.045590291,6,558447.9858,13.50666921,6.149009124,1.694018461,3.344159524,3.393309533,0.328567092,0.208677443,0.797790637,0.808896342,0.740304283,0.487532444,0.18051798,0.840210379,203973258.8
143.487132,29.32601274,8,42079.0546,6.193757701,0.893500586,3.278783903,1.768846591,1.793292735,0.639506822,0.449474579,0.906556439,0.799169228,0.697211763,0.501545134,0.696332288,0.169121337,2712664.995
6922.05742,15.50595494,16,1073331.104,14.43833998,0.402011679,0.552191249,4.493011762,4.53708132,0.094866129,0.003173431,0.911135738,0.931722157,0.643705946,0.150603022,0.067423954,0.314693327,132962011.1
563.1220359,16.55529292,17,93226.50254,9.165442043,10.51298771,3.491755933,1.59054385,1.635563995,0.67529418,0.040495742,0.835699695,0.561004901,0.715975194,0.039658548,0.677433887,0.910732831,9857795.868
6366.812402,23.7056011,4,1509291.151,10.60428725,15.48106907,3.154269191,1.91696725,1.956848454,0.607604673,0.455926916,0.912259248,0.413788061,0.525580615,0.577234136,0.672059105,0.947878012,128269486.2
9834.155771,8.647019605,5,850361.3775,12.10214463,19.90478648,2.733048901,2.305486841,2.315619725,0.529950293,0.101977248,0.367349822,0.483493934,0.634692321,0.857966435,0.706795658,0.624306723,191738174.3
593.7186717,2.407991719,16,14296.69645,0.083130255,14.09201977,3.763281591,1.284617509,1.318993631,0.734502175,0.717821455,0.794995289,0.333884968,0.901604204,0.947964157,0.863805935,0.627575568,9257527.497
307.3832325,36.64424967,13,112638.2792,13.81931845,3.967037428,0.36151745,4.67576646,4.68618076,0.059043725,0.29197501,0.672423788,0.670413337,0.822422366,0.624148691,0.475456354,0.062381701,4595037.979
